season,match_id,round_number,round,round_name,finals_flag,date,venue,home_team,away_team,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score
2012,4106,14,Round 14,Round 14,0,2012-06-30,Docklands Stadium,Essendon,Western Bulldogs,21,14,140,8,8,56
2012,4107,14,Round 14,Round 14,0,2012-06-30,Stadium Australia,Sydney,GWS,19,18,132,5,8,38
2012,4108,14,Round 14,Round 14,0,2012-07-01,Kardinia Park,Geelong,Port Adelaide,14,15,99,8,13,61
2012,4109,14,Round 14,Round 14,0,2012-07-01,Gabba,Brisbane,Melbourne,18,14,122,8,13,61
2012,4110,14,Round 14,Round 14,0,2012-07-01,Docklands Stadium,St Kilda,North Melbourne,15,13,103,21,10,136
2012,4111,15,Round 15,Round 15,0,2012-07-06,MCG,Collingwood,Carlton,8,14,62,12,13,85
2012,4112,15,Round 15,Round 15,0,2012-07-07,Bellerive Oval,North Melbourne,West Coast,13,6,84,12,14,86
2012,4113,15,Round 15,Round 15,0,2012-07-07,MCG,Melbourne,Richmond,11,12,78,13,23,101
2012,4114,15,Round 15,Round 15,0,2012-07-07,SCG,Sydney,Brisbane,16,14,110,9,9,63
2012,4115,15,Round 15,Round 15,0,2012-07-07,Football Park,Port Adelaide,Adelaide,8,10,58,17,14,116
2012,4116,15,Round 15,Round 15,0,2012-07-07,Docklands Stadium,St Kilda,Essendon,21,7,133,8,14,62
2012,4117,15,Round 15,Round 15,0,2012-07-08,MCG,Hawthorn,GWS,28,25,193,4,7,31
2012,4118,15,Round 15,Round 15,0,2012-07-08,Carrara Stadium,Gold Coast,Geelong,13,18,96,15,20,110
